,claim,label
104,Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.,0
105,DRD1 proteins enable Pol V transcription in vivo.,1
106,DUSP4 decreases apoptosis.,0
107,DUSP4 downregulation deactivates the Ras-ERK pathway,0
108,DUSP4 increases apoptosis.,1
109,Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,0
110,Deltex has no known interactions with eIF3f.,0
111,Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,0
112,Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,0
113,Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,1
114,Depletion of nitric oxide is responsible for vasospasm.,1
115,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,1
116,Dexamethasone increases risk of postoperative bleeding.,1
117,Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,1
118,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,0
119,Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,0
120,Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.,0
121,Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,1
122,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,0
123,Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.,1
124,Dscam1 acts as a hypervariable pattern-recognition receptor for the immune system.,1
125,ERAP1 SNPs are epistatic to HLA alleles for ankylosing spondylitis.,1
126,Early patent ductus ateriosus (PDA) screening decreases in-hospital mortality.,1
127,Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,0
128,"Ectopic expression of Sall4, Nanog, Esrrb, and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.",1
129,Egr2 regulates the homeostasis of B and T cells.,1
130,Egr3 regulates the homeostasis of B and T cells.,1
131,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,1
132,Elevated cell-free mitochondrial DNA levels are associated with mortality.,1
133,Energy balance requires hypothalamic glutamate neurotransmission.,1
134,Enhanced early production of inflammatory chemokines damages viral control in the lung.,0
135,Environmental factors can influence the development of breast cancer.,1
136,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,1
137,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,1
138,Exercise increases cancer mortality rates among Chinese citizens.,0
139,Exercise reduces cancer mortality rates among Chinese citizens.,1
140,Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,0
141,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,0
142,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,1
143,Female carriers of the Apolipoprotein E4 (APOE4) allele have longer lifetime exposure to estrogen due to an increased reproductive period.,1
144,Female carriers of the Apolipoprotein E4 (APOE4) allele have shorter lifetime exposure to estrogen due to a decreased reproductive period.,0
145,Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.,1
146,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,1
147,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,1
148,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,0
149,Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,1
150,G-CSF increases the expansion and infiltration of MDSCs into tumors.,1
151,GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.,1
152,GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,1
153,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,0
154,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,1
155,General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.,0
156,General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,0
157,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,1
158,Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,1
159,Genetic deletion of JAM-A increases gut permeability.,1
160,Genomic aberrations of metastases provide information for targeted therapy.,1
161,Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.,0
162,Glial calcium waves influence seizures.,1
163,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",1
164,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,0
165,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,1
166,Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,1
167,H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.,1
168,HAND2 methylation is a key step in early endometrial carcinogenesis.,1
169,Having a main partner improves HIV outcomes.,1
170,Having a main partner worsens HIV outcomes.,0
171,HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,0
172,Headaches are correlated with cognitive impairment.,0
173,Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,0
174,Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.,1
175,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,1
176,High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,1
177,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.",0
178,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",1
179,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,1
180,"Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.",0
181,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,1
182,Hypocretin neurones suppress panicprone state in rats.,0
183,Hypothalamic glutamate neurotransmission is unrelated to energy balance.,0
184,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.",0
185,IL-10 production by monocytes inhibits CD4 + T cell response.,1
186,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,1
187,IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,0
188,Immune responses in immune cells are geographically segregated.,1
189,Improvements in OER catalysts show stable activity over several hundred hours.,1
190,"In British Men, haplogroup I decreases risk of cardiovascular disease.",0
191,"In British Men, haplogroup I increases risk of cardiovascular disease by 50%.",1
192,"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.",1
193,"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.",0
194,"In a naive state, blocking Wingless-Int-1 secretion from mouse embryonic stem cells inhibits self-renewal of the mouse embryonic stem cells.",1
195,"In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.",1
196,"In breast cancer, the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.",0
197,"In melanoma, anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.",1
198,"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.",0
199,"In pediatric tissue, most T cells are naive T cell emigrants from the thymus.",1
200,"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",1
201,"In young and middle-aged adults, current or remote uses of ADHD medications increase the risk of serious cardiovascular events.",0
202,Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.,1
203,Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,0
204,Incidence of heart failure increased by 10% in women since 1979.,0
205,Incidence of sepsis has fallen substantially from 2009 to 2014.,0
206,Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,0
207,Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).,1
208,Increased LDL receptors plays a role in the reduction of plasma Lp(a).,1
209,Increased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,1
210,Increased microtubule acetylation exacerbates LRRK2 Roc-COR domain mutation induced locomotor deficits.,0
211,Increased microtubule acetylation repairs interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,1
212,Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,0
213,Individuals with Alzheimers who participate in six months of physical activity improve cognitive function for up to 18 months.,1
214,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,1
215,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,1
216,Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.,1
217,Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,1
218,Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.,0
219,Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,0
220,Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.,0
221,"Inside the body, falciparum parasites reproduce asexually.",1
222,Insulin effects appetite via ventral tegmental neurons.,1
223,Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,0
224,Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,1
225,Integrated care is ineffective at tackling multiple comorbidities.,0
226,Integrated care is successful at tackling multiple comorbidities.,1
227,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,1
228,Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.,1
229,JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.,1
230,JMJD6 slows the hydroxylation of C-terminal lysine,0
231,KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.,1
232,KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,1
233,Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.,1
234,Klf2 is important for proper myeloid cell function.,1
235,Klf4 is important for proper myeloid cell differentiation.,1
236,Klf4 is not required for proper myeloid cell differentiation.,0
237,Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.,1
238,Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.,1
239,LDL cholesterol has a causal role in the development of cardiovascular disease.,1
240,Lack of FGF21 in mice increases life expectancy.,0
241,Lack of FGF21 in mice leads to atherosclerotic plaque formation.,1
242,Lack of FGF21 in mice leads to reduced lifespan.,1
243,Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.,0
244,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,1
245,Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.,1
246,Low nucleosome occupancy correlates with high methylation levels across species.,1
247,Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.,1
248,Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.,1
249,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,1
250,MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.,1
251,MICAL redox enzymes regulate actin dynamics in many cell types.,1
252,MICAL redox enzymes regulate actin dynamics.,1
253,MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,1
254,MafA phosphorylation decreases its ubiquitination.,0
255,MafA phosphorylation enhances its ubiquitination.,1
256,MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.,0
257,MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.,1
258,Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.,1
259,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,1
260,Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.,1
261,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.,1
262,Medications to treat obesity are highly effective.,0
263,Medications to treat obesity do not have side effects.,0
264,Medications to treat obesity have unwanted side effects.,1
265,Men are more susceptible to death due to pneumonia when compared to women.,0
266,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,0
267,Mice are incapable of producing neutralizing antibodies in reponse to the Chikungunya virus (CHIKV) produced in mosquitos.,0
268,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,0
269,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,1
270,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,1
271,Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.,1
272,Microcin J25 encourages nucleoside triphosphate (NTP) binding.,0
273,Microcin J25 inhibits nucleoside triphosphate (NTP) binding.,1
274,Microglia are an innate immune cell type of the central nervous system.,1
275,Microglia are an innate immune cell type of the peripheral nervous system.,0
276,Migraine with aura is associated with ischemic stroke.,1
277,Misunderstandings between doctors and patients can lead to non-adherence.,1
278,Mitochondria play a major role in apoptosis.,1
279,Mitochondria play a major role in energy production.,1
280,Mitochondria play a trivial role in calcium homeostasis.,0
281,Monoclonal antibody targeting of N-cadherin encourages castration resistance.,0
282,Monoclonal antibody targeting of N-cadherin encourages metastasis.,0
283,Monoclonal antibody targeting of N-cadherin inhibits castration resistance.,1
284,Monoclonal antibody targeting of N-cadherin inhibits growth.,1
285,Most termination events in Okazaki fragments are dictated by initiation patterns.,1
286,"Mouse models can be generated using ""artificial spermatids.""",1
287,Mutant mice lacking SVCT2 have severely reduced ascorbic acid levels in both brain and adrenals.,1
288,Mutations in RIM1 decrease levels of IME1 RNA.,1
289,Mutations in RIM1 raise levels of IME1 RNA.,0
290,Myelin sheaths play a role in action potential propagation.,1
291,N348I mutations cause resistance to nevirapine.,1
292,N348I mutations reduce resistance to nevirapine.,0
293,NR5A2 does not play a role in development of endometrial tissues.,0
294,Natriuretic peptides increase susceptibility to diabetes.,0
295,Natriuretic peptides protect against diabetes.,1
296,Neutrophil extracellular trap (NET) antigens may contain the targeted autoantigens PR3 and MPO.,1
297,Neutrophils produce IL-1β in response to large particles.,1
298,Nonhuman primates are incapable of producing neutralizing antibodies in reponse to the Eilat virus (EILV) produced in mosquitos.,0
299,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,1
300,Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,0
301,Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,0
302,Nonsteroidal antinflammatory drugs show potential anticancer indications.,1
303,Normal expression of RUNX1 causes tumorsupressing effects.,1
304,Normal granulomas form in the absence of TNF in Zebrafish.,1
305,Normal granulomas form in the presence of TNF in Zebrafish.,0
306,Notch signaling occurs between tumor cells and stromal cells.,1
307,Oat tolerant coeliac patients may have oat specific inflammatory cells in their small bowel mucosa.,1
308,Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegans.,0
309,Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegans.,1
310,Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegetarians.,1
311,One in five surgical randomized controlled trials are discontinued early.,1
312,One in two surgical randomized controlled trials are discontinued early.,0
313,Osteocytes have an essential role in G-CSF induced HSPC mobilization.,1
314,PCSK9 inhibitors decrease plasma Lp(a) levels.,1
315,PD-1 triggering on monocytes enhances IL-10 production by monocytes.,1
316,PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,0
317,PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,0
318,PKG-la plays an essential role in expression of spinal long term potentiation in PGK-la knockout mice.,1
319,PTEN is a regulator for the transcriptional activity of SRF,1
320,Participants who quit smoking reduce lung cancer risk by approximately 50%.,1
321,Patients in stable partnerships have a slower progression from HIV to AIDS.,1
322,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,0
323,Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,1
324,Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,0
325,Patients with microcytosis and higher erythrocyte count are more vulnerable to severe malarial anaemia when infected with Plasmodium falciparum.,0
326,Patients with microcytosis and higher erythrocyte count were more resistant to severe malarial anaemia when infected with Plasmodium falciparum.,1
327,Patients with panic anxiety show decreased CSF levels of hypocretin.,0
328,Pediatric SCD patients with vaso-occlusive crisis show increased morphine use after breathing 80 ppm iNO for 4 hours.,1
329,Peroxynitrite is required for induction of T cell tolerance.,1
330,Pharmacist attendance at ward rounds increases adverse events in wards.,0
331,Pharmacist attendance at ward rounds reduces adverse events in wards.,1
332,Phase information is useful for predicting donor-recipient matches in organ transplantation.,1
333,Physical activity does not improve cognitive function in individuals with Alzheimers.,0
334,Piezo1 channels are sensors for cell migration in epithelial cells.,1
335,Pioglitazone use is not associated with an increased risk of prostate cancer.,0
336,Pioglitazone use is significantly associated with an increased risk of pancreatic cancer.,1
337,Pioglitazone use is significantly associated with an increased risk of prostate cancer.,1
338,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,1
339,Polymeal nutrition increases cardiovascular mortality.,0
340,Post-transcriptional handling of mitochondrial transcripts occurs in mitochondrial RNA granules.,1
341,Pre-mRNAs associated with spliceosomal components are less stable than unassociated splicing substrates.,0
342,Pre-mRNAs associated with spliceosomal components are more stable than unassociated splicing substrates.,1
343,Prescribed exercise training improves quality of life.,1
344,Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,0
345,Primary cervical cytology screening with HPV detection has higher longitudinal sensitivity to detect severe cervical intraepithelial neoplasia than conventional cytology.,1
346,Pro-inflammatory cytokines are up regulated during tumor development.,1
347,Progerin induces premature aging in stem cells.,1
348,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,1
349,Pseudogene PTENP1 encodes a transcript that regulates PTEN expression.,1
350,Pyridostatin decreases telomere fragility in BRCA2-deficient cells.,0
351,Pyridostatin deregulates G2/M progression.,1
352,Pyridostatin encourages proliferation of homologous recombination - defective cells.,0
353,Pyridostatin induces checkpoint activation.,1
354,Pyridostatin induces double-strand breaks accumulation.,1
355,Pyridostatin prevents double-strand breaks accumulation.,0
356,Pyridostatin reduces proliferation of homologous recombination - defective cells.,1
357,Pyridostatin stabilizes the G - quadruplex in the telomeric region.,1
358,RAD52 is involved in break-induced DNA replication (BIR).,1
359,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,0
360,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,1
361,RTEL1 interacts with TRF2 through a C4C4 motif,1
362,RUNX1 is downregulated or mutated in TLX1 T-ALL.,1
363,Radioiodine treatment of non-toxic multinodular goitre increases thyroid volume.,0
364,Rapamycin delays aging in fruit flies.,1
365,Rapid phosphotransfer rates are correlated with histidine kinase regulator specificity.,1
366,Recognition of start codons depends on the translation initiation factor IF3.,1
367,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with autoimmune diseases such as Type 1 Diabetes.,1
368,Reducing H3k4me3 methylation induces mouse epiblast stem cells to naive pluripotency efficiently.,1
369,Reduction of Rpl38 alters the composition of the Hox gene mRNAs translation in mice without lowering overall protein synthesis.,1
370,Removal of H3K9me3 by ectopic expression of other H3K9 demethylases decreases reprogramming efficiency in SCNT experiments.,0
371,Removal of H3K9me3 by ectopic expression of other H3K9 demethylases improves reprogramming efficiency in SCNT experiments.,1
372,Removal of H3K9me3 improves reprogramming efficiency in human somatic cell nuclear transfer experiments.,1
373,Replacement of histone H2A with H2A.Z accelerates gene activation in yeasts by destabilizing +1 nucleosomes.,1
374,Repressing IL-18 has negative effects on atherosclerotic lesion composition and progression.,0
